Canh chua chay;37;123.3g
Canh rau ngót chay;23;115g
Canh kiểm;291;145.5g
Canh khổ qua hầm chay;88;88g
Bánh canh cua;379;189.5g
Bánh canh giò heo;483;161g
Bánh canh thịt gà;346;138.4g
Bánh canh thịt heo;322;128.8g
Bún bò giò heo;622;207.3g
Bún mắm;480;192g
Bún măng;485;194g
Bún mọc;514;205.6g
Canh bún;296;148g
Bún thịt nướng chả giò;598;199.3g
Bún riêu ốc;531;212.4g
Bún riêu cua;414;188.2g
Cháo đậu đỏ;322;214.7g
Cháo gỏi vịt;930;310g
Cháo huyết;332;221.3g
Cháo lòng;412;206g
Hủ tíu bò kho;538;215.2g
Hủ tíu nam vang;400;200g
Hủ tíu thịt heo;361;144.4g
Mì thịt heo;415;166g
Hủ tíu mì;410;164g
Hoành thánh;248;124g
Hủ tíu xào;646;108g
Mì xào dòn;638;108g
Mì quảng;541;180.3g
Mì vịt tiềm;776;258.7g
Miến gà;635;211.7g
Nui thịt heo;414;138g
Nui chiên;532;177.3g
Bột chiên;443;147.7g
Phở bò tái bình dân;413;137.7g
Phở bò chín bình dân;430;143.3g
Phở bò tái trung bình;431;143.7g
Phở bò tái chín trung bình;456;152g
Phở bò tái đặc biệt;543;181g
Phở bò chín đặc biệt;517;172.3g
Phở bò viên;431;143.7g
Phở gà bình dân;458;152.7g
Phở gà trung bình;483;161g
Phở gà đặc biệt;561;187g
Bánh bò hấp;100;100g
Bánh chuối hấp;506;168.7g
Bánh da lợn;364;121.3g
Bánh flan;66;44g
Bánh bao nhân cadé;209;104.5g
Bánh bao nhân thịt;328;131.3g
Bánh ít thịt dừa;261;130.5g
Bánh ít nhân đậu;257;128.5g
Bánh lá dùa nhân chuối;154;77g
Bánh lá dừa nhân đậu;155;77.5g
Bánh chưng;407;135.7g
Bánh tét nhân đậu mặn;407;135.7g
Bánh tét nhân đậu ngọt;444;148g
Bánh tét nhân chuối;302;100.7g
Bánh giò;216;108g
Bánh lá chả tôm;331;110.3g
Bánh bèo;358;119.3g
Bánh bèo thập cẩm;608;202.7g
Bánh bột lọc;478;159.3g
Bánh há cảo;363;121g
Bánh cuốn;590;196.7g
Bánh ướt;749;249.7g
Bánh cay;25;8.3g
Bánh chuối chiên;139;46.3g
Bánh giò gà;176;58.7g
Bánh giò cháo quẩy;117;39g
Bánh mè;170;56.7g
Bánh tiêu;132;44g
Bánh phồng tôm chiên;169;108g
Bánh snack;124;27.56g
Bánh rán;192;42.67g
Bánh cam đường;215;47.78g
Bánh xếp chiên;146;32.44g
Bánh xèo miền trung;154;34.22g
Bánh xèo trung bình;517;114.89g
Bánh xèo đặc biệt;646;143.56g
Bánh mì;239;53.11g
Bánh mì sandwich;89;19.78g
Bánh mì Cadé;129;28.67g
Bánh mì ngọt;304;67.56g
Bánh su kem;112;24.89g
Bánh sừng trâu;227;50.44g
Bánh mì cá hộp;399;88.67g
Bánh mì chà bông;337;74.89g
Bánh mì chả lụa;431;95.78g
Bánh mì thịt;461;102.44g
Bánh mì sandwich kẹp thịt;468;104g
Bánh xốp kem;98;21.78g
Bánh Patéchaud;374;83.11g
Bánh xếp Paté;220;48.89g
Bánh xếp nướng nhân dừa;319;70.89g
Bánh xếp nướng nhân đậu;243;54g
Bánh pía;709;157.56g
Bánh bích qui;38;8.44g
Bánh bò nướng;303;67.33g
Bánh bông lan;217;48.22g
